Tenure,WarehouseToHome,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn,IsNewCustomer,LowSatisfaction,HighCashback,RecentlyActive,MaritalStatus_Married,MaritalStatus_Single,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile,PreferedOrderCat_Others
4,13,4,3,2,0,9,189.43,0,1,0,1,0,False,False,False,False,False,False
8,6,3,3,2,0,3,148.59,0,0,0,0,1,False,True,False,True,False,False
12,8,5,5,6,0,1,153.58,0,0,0,0,1,False,True,False,False,True,False
1,9,4,5,9,0,8,152.07,1,1,0,0,0,True,False,False,False,True,False
7,21,4,4,3,0,7,152.56,0,0,0,0,0,True,False,False,False,True,False
1,9,4,1,2,0,2,150.23,0,1,1,0,1,True,False,False,False,True,False
10,25,4,2,4,0,10,202.79,0,0,1,1,0,False,True,False,True,False,False
12,9,2,4,10,0,6,163.89,0,0,0,0,0,False,False,False,True,False,False
9,7,4,3,3,0,4,173.59,0,0,0,1,0,False,True,False,True,False,False
8,15,2,3,3,0,9,192.99,0,0,0,1,0,True,False,False,True,False,False
12,8,4,1,9,0,10,172.35,0,0,1,1,0,True,False,False,True,False,False
1,15,6,3,3,0,3,171.21,0,1,0,1,1,False,False,False,False,True,False
28,12,4,5,6,0,3,319.06,0,0,0,1,1,True,False,False,False,False,True
2,7,6,2,2,0,6,191.74,0,1,1,1,0,False,False,False,True,False,False
3,6,3,4,2,0,7,137.48,0,1,0,0,0,True,False,False,False,True,False
4,17,5,3,3,0,5,190.78,0,1,0,1,0,False,False,False,True,False,False
17,13,4,1,4,0,17,202.48,0,0,1,1,0,True,False,False,False,False,False
7,6,4,3,2,1,6,170.83,0,0,0,1,0,False,False,False,False,False,False
8,8,3,4,6,0,2,144.25,0,0,0,0,1,False,True,False,True,False,False
16,9,4,5,2,0,8,301.65,0,0,0,1,0,False,False,True,False,False,False
20,8,2,5,3,0,13,300.67,0,0,0,1,0,False,True,True,False,False,False
29,33,2,4,6,1,5,321.36,0,0,0,1,0,True,False,False,False,False,True
27,17,3,1,4,0,12,260.32,0,0,1,1,0,True,False,True,False,False,False
3,9,5,5,4,1,1,161.46,1,1,0,0,1,False,True,False,False,True,False
0,10,1,4,2,1,3,161.42,0,1,0,0,1,True,False,False,True,False,False
3,14,3,3,6,0,7,172.64,0,1,0,1,0,True,False,False,False,False,False
4,29,5,3,4,1,1,188.8,1,1,0,1,1,False,False,False,True,False,False
11,8,5,1,3,1,3,154.05,0,0,1,0,1,True,False,False,True,False,False
5,33,4,3,3,0,4,154.11,0,1,0,0,0,True,False,False,False,True,False
14,9,5,3,8,0,1,159.48,0,0,0,0,1,True,False,False,True,False,False
3,17,4,4,2,0,2,157.91,0,1,0,0,1,True,False,False,False,True,False
1,9,6,1,7,1,3,159.64,1,1,1,0,1,True,False,False,False,True,False
31,10,5,2,7,0,6,176.71,0,0,1,1,0,False,True,False,True,False,False
15,11,4,3,11,1,8,149.61,1,0,0,0,0,False,False,False,False,True,False
1,16,5,5,9,0,4,159.07,1,1,0,0,0,False,True,False,True,False,False
14,12,3,3,2,0,7,192.41,0,0,0,1,0,False,True,False,False,False,False
10,17,4,5,9,1,8,208.21,0,0,0,1,0,True,False,False,False,False,False
1,22,4,3,3,0,3,151.1,1,1,0,0,1,False,False,False,False,True,False
13,7,4,3,3,1,7,316.97,0,0,0,1,0,True,False,False,False,False,True
13,8,3,3,1,0,9,294.36,0,0,0,1,0,True,False,False,False,False,True
23,35,4,3,1,0,7,270.46,0,0,0,1,0,True,False,True,False,False,False
21,9,4,3,6,0,1,149.79,1,0,0,0,1,False,True,False,False,True,False
5,8,1,1,8,0,7,150.55,0,1,1,0,0,False,True,False,True,False,False
30,35,4,2,4,0,0,241.18,0,0,1,1,1,True,False,True,False,False,False
1,10,4,3,3,0,1,139.2,1,1,0,0,1,False,True,False,False,True,False
15,11,3,3,7,0,0,283.03,0,0,0,1,1,False,False,False,False,False,True
13,9,4,3,2,0,9,234.38,0,0,0,1,0,False,True,False,False,False,False
27,28,3,3,4,0,7,274.26,0,0,0,1,0,True,False,True,False,False,False
9,14,3,1,5,0,7,150.79,0,0,1,0,0,True,False,False,True,False,False
11,7,4,4,8,0,4,189.47,0,0,0,1,0,False,False,False,True,False,False
1,14,4,3,3,0,2,173.83,1,1,0,1,1,True,False,False,True,False,False
1,32,6,3,3,0,2,147.93,1,1,0,0,1,False,True,False,False,True,False
3,7,3,4,1,1,7,135.79,0,1,0,0,0,True,False,False,False,True,False
2,8,3,4,1,0,2,131.8,0,1,0,0,1,True,False,False,False,True,False
6,8,3,4,9,0,7,151.47,0,0,0,0,0,False,True,False,True,False,False
22,36,4,3,5,0,1,250.04,0,0,0,1,1,True,False,False,False,False,False
27,7,4,5,9,0,11,208.81,0,0,0,1,0,False,True,False,True,False,False
23,7,5,3,9,1,8,264.64,0,0,0,1,0,False,True,True,False,False,False
23,14,3,4,8,0,2,138.75,0,0,0,0,1,False,False,False,False,True,False
4,11,5,4,3,1,8,177.09,0,1,0,1,0,True,False,False,True,False,False
1,8,4,3,2,0,3,158.75,0,1,0,0,1,False,True,False,False,True,False
1,12,5,1,3,1,9,253.08,0,1,1,1,0,True,False,False,False,False,False
19,9,6,3,2,0,2,191.32,0,0,0,1,1,False,True,False,True,False,False
14,16,4,3,5,0,8,164.75,0,0,0,0,0,True,False,False,True,False,False
3,8,4,1,3,0,3,162.6,0,1,1,0,1,True,False,False,False,True,False
28,10,3,3,1,1,2,140.35,0,0,0,0,1,False,False,False,True,False,False
6,9,4,5,3,0,3,149.39,0,0,0,0,1,False,True,False,False,True,False
16,19,4,1,5,1,1,175.87,0,0,1,1,1,True,False,False,True,False,False
0,7,4,5,2,0,7,197.14,1,1,0,1,0,True,False,False,True,False,False
5,18,3,5,1,1,14,237.58,1,1,0,1,0,False,True,True,False,False,False
26,30,1,1,4,0,2,170.05,0,0,1,1,1,True,False,False,False,False,False
26,13,3,3,4,0,7,286.06,0,0,0,1,0,True,False,False,False,False,True
5,11,3,4,3,0,7,127.18,0,1,0,0,0,False,True,False,False,True,False
13,29,4,5,3,1,9,233.8,0,0,0,1,0,False,True,False,False,False,False
1,12,4,5,3,1,3,148.8,0,1,0,0,1,False,True,False,False,True,False
21,6,4,2,7,0,0,282.65,0,0,1,1,1,False,True,False,False,False,True
1,18,4,4,3,0,3,147.44,0,1,0,0,1,False,False,False,False,True,False
22,8,5,1,8,0,1,307.65,0,0,1,1,1,False,True,False,False,False,True
2,16,4,2,3,0,5,145.7,0,1,1,0,0,False,False,False,False,True,False
1,7,4,3,3,0,8,177.96,0,1,0,1,0,False,False,False,True,False,False
12,7,5,3,11,1,1,178.81,1,0,0,1,1,False,True,False,False,False,False
3,35,5,5,3,0,5,162.85,0,1,0,0,0,False,True,False,False,True,False
3,20,5,4,6,1,4,165.25,0,1,0,1,0,True,False,False,True,False,False
17,13,3,1,1,1,10,290.49,0,0,1,1,0,True,False,False,False,False,True
24,11,4,4,5,0,7,316.44,0,0,0,1,0,True,False,False,False,False,True
16,12,4,3,6,0,1,145.93,0,0,0,0,1,False,False,False,False,True,False
19,21,3,4,6,0,3,290.81,0,0,0,1,1,False,False,False,False,False,True
11,8,3,4,8,0,0,173.51,0,0,0,1,1,False,True,False,False,False,False
15,8,4,4,5,0,0,148.41,0,0,0,0,1,True,False,False,False,True,False
6,13,3,4,1,0,2,143.02,0,0,0,0,1,False,False,False,True,False,False
5,14,4,1,3,1,11,196.43,0,1,1,1,0,False,True,False,False,False,False
15,12,2,4,5,0,3,193.7,0,0,0,1,1,False,True,False,True,False,False
1,15,3,1,2,0,7,152.53,0,1,1,0,0,False,True,False,True,False,False
1,18,5,5,3,1,1,151.0,1,1,0,0,1,False,True,False,False,True,False
4,10,1,3,9,0,2,139.78,0,1,0,0,1,True,False,False,False,True,False
28,14,4,1,6,0,8,193.54,0,0,1,1,0,True,False,False,True,False,False
13,31,5,1,2,0,7,245.31,0,0,1,1,0,True,False,True,False,False,False
9,15,2,1,3,0,2,147.69,0,0,1,0,1,True,False,False,False,True,False
14,9,4,3,4,0,3,148.45,0,0,0,0,1,True,False,False,False,True,False
1,5,5,4,3,0,1,150.96,1,1,0,0,1,True,False,False,False,True,False
3,30,4,2,11,0,3,147.01,0,1,1,0,1,False,True,False,False,True,False
8,17,4,3,3,1,1,163.15,0,0,0,0,1,True,False,False,False,True,False
11,14,4,5,7,1,5,167.84,0,0,0,1,0,True,False,False,True,False,False
17,14,1,2,3,1,2,128.18,0,0,1,0,1,False,False,False,False,True,False
17,33,4,1,3,1,13,294.59,0,0,1,1,0,True,False,True,False,False,False
7,14,3,5,6,0,2,165.0,0,0,0,0,1,False,False,False,True,False,False
0,10,3,4,2,0,2,132.95,0,1,0,0,1,False,True,False,False,True,False
1,16,4,5,9,0,5,167.0,1,1,0,1,0,False,True,False,False,True,False
19,9,3,4,9,0,1,266.06,0,0,0,1,1,False,False,True,False,False,False
3,22,3,3,9,0,2,153.01,0,1,0,0,1,False,False,False,True,False,False
14,8,3,5,8,0,8,265.95,0,0,0,1,0,False,False,True,False,False,False
28,8,4,1,8,0,8,298.28,0,0,1,1,0,False,True,True,False,False,False
28,12,4,5,6,0,3,319.06,0,0,0,1,1,False,False,False,False,False,True
1,15,2,4,2,0,3,173.51,0,1,0,1,1,True,False,False,True,False,False
25,6,3,2,3,0,8,270.99,0,0,1,1,0,False,False,True,False,False,False
1,8,3,4,5,0,4,148.55,1,1,0,0,0,True,False,False,True,False,False
3,16,4,3,2,0,4,165.78,0,1,0,1,0,False,False,False,True,False,False
15,16,3,3,4,0,3,129.36,0,0,0,0,1,True,False,False,False,True,False
9,32,3,3,7,0,2,153.47,0,0,0,0,1,True,False,False,True,False,False
12,17,4,3,5,0,3,185.77,0,0,0,1,1,True,False,False,True,False,False
1,10,4,5,3,1,4,166.94,0,1,0,1,0,False,False,False,True,False,False
5,9,4,2,2,1,3,151.95,0,1,1,0,1,True,False,False,False,True,False
5,35,4,4,2,0,1,128.37,0,1,0,0,1,False,True,False,False,True,False
6,33,4,1,2,0,3,169.65,0,0,1,1,1,True,False,False,True,False,False
18,14,4,1,2,1,11,315.49,0,0,1,1,0,True,False,False,False,False,True
13,15,4,1,10,0,2,148.76,0,0,1,0,1,True,False,False,True,False,False
9,7,5,3,8,0,8,147.58,0,0,0,0,0,True,False,False,False,True,False
9,32,5,2,6,0,3,161.81,0,0,1,0,1,False,True,False,True,False,False
4,14,5,4,3,0,2,146.41,0,1,0,0,1,True,False,False,False,True,False
8,14,3,3,2,0,9,141.48,0,0,0,0,0,True,False,False,True,False,False
1,7,4,1,3,1,9,151.86,1,1,1,0,0,False,True,False,False,True,False
15,20,4,3,8,0,3,162.44,0,0,0,0,1,False,True,False,True,False,False
24,13,4,3,3,0,0,161.32,0,0,0,0,1,True,False,False,True,False,False
2,6,3,1,2,0,1,179.18,0,1,1,1,1,True,False,False,False,False,False
19,7,1,5,2,0,12,275.67,0,0,0,1,0,False,True,True,False,False,False
16,12,4,3,2,1,8,140.81,0,0,0,0,0,False,True,False,True,False,False
21,16,4,4,5,0,9,296.65,0,0,0,1,0,True,False,False,False,False,True
2,8,3,1,2,0,3,188.53,0,1,1,1,1,True,False,False,True,False,False
6,6,2,3,5,0,5,261.84,0,0,0,1,0,True,False,True,False,False,False
12,34,4,5,4,0,3,142.84,1,0,0,0,1,False,True,False,True,False,False
30,18,5,5,6,0,1,178.8,0,0,0,1,1,True,False,False,True,False,False
12,11,4,3,9,0,1,158.06,0,0,0,0,1,True,False,False,False,True,False
3,28,4,3,3,1,0,163.8,1,1,0,0,1,True,False,False,True,False,False
11,32,5,1,9,0,4,182.31,0,0,1,1,0,True,False,False,True,False,False
0,7,3,3,1,0,2,133.75,0,1,0,0,1,False,True,False,False,True,False
3,22,6,1,2,1,4,146.68,0,1,1,0,0,True,False,False,False,True,False
1,16,4,5,3,0,1,150.52,0,1,0,0,1,False,True,False,False,True,False
8,14,3,3,2,0,4,143.23,0,0,0,0,0,False,True,False,False,True,False
5,16,3,3,7,0,3,134.33,0,1,0,0,1,True,False,False,False,True,False
4,14,3,4,4,0,0,264.22,0,1,0,1,1,False,True,True,False,False,False
12,21,3,5,1,0,10,233.41000000000005,0,0,0,1,0,False,True,True,False,False,False
7,6,4,2,2,1,3,136.22,0,0,1,0,1,False,False,False,False,True,False
12,30,3,1,8,0,7,141.08,0,0,1,0,0,False,True,False,True,False,False
0,8,1,5,8,0,1,134.24,0,1,0,0,1,False,True,False,False,True,False
14,16,4,5,2,0,2,179.73,0,0,0,1,1,True,False,False,True,False,False
18,8,4,2,10,0,8,267.92,0,0,1,1,0,False,False,True,False,False,False
11,26,4,3,5,0,3,182.68,0,0,0,1,1,True,False,False,True,False,False
9,9,4,4,7,0,3,169.25,0,0,0,1,1,False,True,False,True,False,False
10,12,3,1,5,0,1,165.02,0,0,1,0,1,True,False,False,True,False,False
8,17,4,4,3,0,1,145.08,0,0,0,0,1,True,False,False,False,True,False
25,6,4,3,1,0,9,299.99,0,0,0,1,0,True,False,False,False,False,True
14,8,3,4,2,0,4,260.15,0,0,0,1,0,False,True,True,False,False,False
0,6,4,5,2,0,7,197.14,1,1,0,1,0,True,False,False,True,False,False
1,16,5,3,2,1,1,158.88,1,1,0,0,1,False,False,False,False,True,False
14,16,5,4,2,0,9,161.51,0,0,0,0,0,False,True,False,True,False,False
3,9,4,4,2,0,3,156.8,0,1,0,0,1,True,False,False,False,True,False
19,36,4,1,7,0,4,159.52,0,0,1,0,0,False,True,False,False,True,False
20,8,4,1,2,1,2,132.94,0,0,1,0,1,False,True,False,False,True,False
28,29,4,3,5,0,8,299.26,0,0,0,1,0,True,False,True,False,False,False
5,31,4,1,4,0,5,177.38,0,1,1,1,0,False,True,False,True,False,False
0,6,3,3,1,0,2,148.98,0,1,0,0,1,True,False,False,True,False,False
0,30,5,2,2,1,0,111.18,1,1,1,0,1,False,True,False,False,True,False
5,15,2,4,11,0,3,146.09,0,1,0,0,1,False,True,False,False,True,False
5,10,4,5,3,1,4,155.65,0,1,0,0,0,True,False,False,False,True,False
15,8,3,5,1,0,7,276.65,0,0,0,1,0,False,False,True,False,False,False
2,15,4,1,3,0,3,158.1,0,1,1,0,1,False,True,False,False,True,False
1,15,3,4,2,0,3,173.51,0,1,0,1,1,False,False,False,True,False,False
24,9,4,3,4,1,8,317.37,0,0,0,1,0,True,False,False,False,False,True
16,31,4,5,3,1,9,199.06,0,0,0,1,0,False,False,False,False,False,False
1,14,6,3,3,1,7,185.74,1,1,0,1,0,False,True,False,True,False,False
0,11,3,3,2,1,0,128.51,1,1,0,0,1,False,True,False,False,True,False
20,14,4,3,4,0,1,177.58,0,0,0,1,1,False,False,False,True,False,False
20,11,3,3,5,0,1,283.0,0,0,0,1,1,False,False,False,False,False,True
7,9,5,5,4,0,12,147.59,0,0,0,0,0,False,True,False,True,False,False
19,13,3,3,3,0,0,152.58,0,0,0,0,1,False,False,False,True,False,False
9,10,4,1,8,0,9,203.23,0,0,1,1,0,True,False,False,False,False,False
13,8,1,4,2,0,7,142.44,0,0,0,0,0,True,False,False,True,False,False
6,7,4,4,3,0,10,187.2,0,0,0,1,0,True,False,False,True,False,False
10,16,4,2,3,1,0,166.94,0,0,1,1,1,True,False,False,True,False,False
9,9,4,1,3,0,3,145.14,0,0,1,0,1,True,False,False,False,True,False
1,15,6,5,3,0,2,149.51,0,1,0,0,1,True,False,False,False,True,False
1,8,4,4,1,0,4,132.01,0,1,0,0,0,False,False,False,False,True,False
5,7,3,1,2,0,7,204.22,0,1,1,1,0,True,False,False,False,False,False
8,14,4,3,2,1,8,148.08,0,0,0,0,0,True,False,False,False,True,False
1,7,4,4,3,0,5,188.97,0,1,0,1,0,True,False,False,True,False,False
0,14,1,3,8,0,2,135.17,0,1,0,0,1,True,False,False,False,True,False
18,35,2,2,5,1,12,258.2,0,0,1,1,0,False,False,True,False,False,False
5,12,4,1,3,0,3,179.76,0,1,1,1,1,True,False,False,True,False,False
6,10,3,4,6,0,7,130.55,0,0,0,0,0,True,False,False,True,False,False
9,8,4,3,2,0,0,175.96,0,0,0,1,1,False,False,False,False,False,False
24,11,3,4,2,1,10,240.26,0,0,0,1,0,True,False,True,False,False,False
10,7,5,3,2,0,3,168.74,0,0,0,1,1,True,False,False,True,False,False
22,9,3,4,5,0,3,206.2,0,0,0,1,1,False,False,False,True,False,False
6,7,4,1,2,0,3,148.14,0,0,1,0,1,True,False,False,False,True,False
3,9,4,3,3,0,3,171.49,0,1,0,1,1,True,False,False,True,False,False
5,10,3,4,3,0,2,139.31,0,1,0,0,1,True,False,False,False,True,False
10,16,3,4,3,1,1,141.97,0,0,0,0,1,False,True,False,True,False,False
27,25,3,4,3,0,1,207.25,0,0,0,1,1,False,False,False,False,False,False
15,8,4,2,4,0,0,167.81,0,0,1,1,1,False,True,False,True,False,False
5,8,3,4,1,1,2,140.78,0,1,0,0,1,True,False,False,True,False,False
21,9,5,1,11,1,1,148.8,1,0,1,0,1,True,False,False,False,True,False
14,9,4,3,4,0,3,145.01,0,0,0,0,1,True,False,False,False,True,False
11,6,1,3,2,0,0,128.44,0,0,0,0,1,False,False,False,False,True,False
14,9,4,3,2,0,13,305.41,0,0,0,1,0,True,False,False,False,False,True
0,10,4,2,2,1,3,144.87,0,1,1,0,1,False,True,False,True,False,False
19,31,4,4,3,0,5,146.77,0,0,0,0,0,False,True,False,False,True,False
3,21,4,5,3,0,7,171.4,0,1,0,1,0,True,False,False,False,False,False
11,6,4,3,10,1,0,153.81,1,0,0,0,1,False,True,False,False,False,False
3,18,3,3,1,0,4,165.77,0,1,0,1,0,False,True,False,True,False,False
10,15,4,4,2,0,3,141.89,0,0,0,0,1,True,False,False,True,False,False
21,13,3,5,5,0,2,154.86,0,0,0,0,1,True,False,False,True,False,False
14,7,4,1,6,0,4,190.13,0,0,1,1,0,True,False,False,True,False,False
5,6,3,5,2,0,0,129.56,0,1,0,0,1,False,True,False,False,True,False
9,15,4,3,3,0,5,168.23,0,0,0,1,0,False,True,False,False,True,False
28,10,4,5,4,0,6,184.4,0,0,0,1,0,True,False,False,True,False,False
9,28,4,1,3,1,8,165.14,0,0,1,0,0,True,False,False,True,False,False
24,6,4,3,6,1,1,318.31,0,0,0,1,1,True,False,False,False,False,True
0,31,4,4,5,1,2,123.13,1,1,0,0,1,False,True,False,False,True,False
2,15,3,3,10,0,2,129.74,0,1,0,0,1,True,False,False,False,True,False
8,9,5,5,3,0,4,168.81,0,0,0,1,0,False,True,False,False,True,False
1,12,4,2,3,0,1,135.51,0,1,1,0,1,False,True,False,False,True,False
17,7,3,1,5,1,2,131.95,0,0,1,0,1,True,False,False,False,True,False
10,19,3,1,2,0,7,142.85,0,0,1,0,0,True,False,False,True,False,False
12,6,2,2,1,0,7,196.13,0,0,1,1,0,True,False,False,False,False,False
16,7,4,5,5,0,3,150.76,0,0,0,0,1,True,False,False,False,True,False
6,15,5,4,3,1,10,177.28,0,0,0,1,0,True,False,False,True,False,False
9,15,4,2,3,0,3,150.72,0,0,1,0,1,False,False,False,False,True,False
17,17,4,1,2,0,8,149.55,0,0,1,0,0,False,True,False,False,True,False
12,17,3,1,2,0,7,176.54,1,0,1,1,0,True,False,False,False,False,False
16,33,3,5,9,0,1,208.2,0,0,0,1,1,True,False,False,False,False,False
25,8,4,2,8,0,2,132.12,0,0,1,0,1,False,True,False,False,True,False
12,12,1,3,3,0,6,182.37,0,0,0,1,0,True,False,False,False,False,False
7,9,3,2,1,0,2,137.37,0,0,1,0,1,False,False,False,False,True,False
12,12,4,5,5,0,7,199.91,0,0,0,1,0,True,False,False,False,False,False
1,31,4,4,3,1,1,149.08,1,1,0,0,1,True,False,False,False,True,False
18,10,3,4,2,0,8,144.47,0,0,0,0,0,True,False,False,True,False,False
7,9,3,1,1,0,4,177.56,0,0,1,1,0,False,True,False,True,False,False
14,31,4,2,3,0,8,158.19,0,0,1,0,0,True,False,False,True,False,False
12,7,4,5,3,0,12,260.82,0,0,0,1,0,True,False,False,False,False,False
25,9,6,4,7,0,3,179.82,0,0,0,1,1,True,False,False,True,False,False
29,7,4,5,2,1,14,315.45,0,0,0,1,0,False,True,False,False,False,True
6,14,1,5,7,0,6,131.43,0,0,0,0,0,True,False,False,False,True,False
10,7,4,2,6,0,1,191.53,0,0,1,1,1,False,True,False,True,False,False
1,36,5,3,3,0,9,170.08,1,1,0,1,0,False,True,False,True,False,False
1,19,4,1,3,0,5,151.47,0,1,1,0,0,False,True,False,False,True,False
23,23,4,5,6,0,11,232.69,0,0,0,1,0,True,False,False,False,False,False
4,35,4,1,2,0,7,154.68,0,1,1,0,0,True,False,False,True,False,False
13,8,3,3,1,0,12,280.41,0,0,0,1,0,True,False,False,False,False,True
27,9,5,4,4,0,13,200.25,0,0,0,1,0,False,False,False,False,False,False
31,13,4,3,10,0,3,147.67,0,0,0,0,1,False,False,False,False,True,False
26,29,3,1,7,0,8,242.75,0,0,1,1,0,False,True,True,False,False,False
5,14,4,2,3,1,11,196.43,0,1,1,1,0,False,True,False,False,False,False
0,8,1,3,1,0,7,165.0,0,1,0,0,0,False,True,False,True,False,False
4,16,4,5,3,0,11,155.72,0,1,0,0,0,True,False,False,True,False,False
7,14,1,3,2,0,8,167.99,0,0,0,1,0,True,False,False,True,False,False
0,10,5,1,2,0,8,204.0,1,1,1,1,0,True,False,False,False,False,False
21,11,4,1,3,1,8,166.63,0,0,1,1,0,False,True,False,True,False,False
60,27,3,1,5,1,0,278.75,0,0,1,1,1,True,False,True,False,False,False
1,32,5,4,7,0,2,150.46,1,1,0,0,1,False,False,False,False,True,False
13,25,3,1,9,1,7,127.41,0,0,1,0,0,True,False,False,True,False,False
20,20,3,3,4,1,2,145.91,0,0,0,0,1,True,False,False,True,False,False
5,15,4,4,5,0,1,289.22,0,1,0,1,1,False,True,True,False,False,False
22,24,3,2,2,1,7,168.04,0,0,1,1,0,True,False,False,True,False,False
30,16,4,3,4,0,4,154.42,0,0,0,0,0,False,False,False,False,True,False
14,12,3,1,4,1,0,235.91000000000005,0,0,1,1,1,False,True,False,False,False,False
1,11,3,1,2,0,2,149.08,0,1,1,0,1,False,True,False,True,False,False
7,15,4,5,4,0,3,188.92,0,0,0,1,1,True,False,False,True,False,False
11,12,4,1,9,0,5,188.47,0,0,1,1,0,True,False,False,True,False,False
15,12,2,3,4,1,4,146.27,0,0,0,0,0,True,False,False,False,True,False
8,24,3,5,1,0,4,0.0,0,0,0,0,0,True,False,False,True,False,False
10,9,5,3,3,0,1,200.96,0,0,0,1,1,False,False,False,False,False,False
0,14,3,3,1,1,4,149.07,0,1,0,0,0,True,False,False,True,False,False
12,9,5,4,3,0,4,149.4,0,0,0,0,0,False,True,False,False,True,False
6,19,3,1,4,0,2,134.52,0,0,1,0,1,False,True,False,False,True,False
10,33,1,3,5,1,3,163.97,1,0,0,0,1,False,True,False,True,False,False
0,12,4,2,2,1,0,129.26,1,1,1,0,1,False,True,False,False,True,False
30,8,4,2,4,1,3,237.26,0,0,1,1,1,False,True,True,False,False,False
20,21,4,4,11,1,4,174.63,1,0,0,1,0,False,False,False,False,True,False
1,11,2,5,4,0,3,153.19,0,1,0,0,1,True,False,False,False,True,False
29,15,3,3,3,0,3,129.42,0,0,0,0,1,True,False,False,False,True,False
1,9,2,3,3,0,8,177.06,0,1,0,1,0,True,False,False,True,False,False
11,9,5,1,7,0,1,176.63,0,0,1,1,1,True,False,False,True,False,False
22,29,4,1,5,0,8,296.74,0,0,1,1,0,True,False,True,False,False,False
9,35,2,3,3,0,9,159.07,0,0,0,0,0,True,False,False,True,False,False
19,27,6,5,4,1,8,233.51,0,0,0,1,0,True,False,False,False,False,False
23,35,4,3,1,0,7,270.46,0,0,0,1,0,False,False,True,False,False,False
1,7,4,4,3,0,5,163.16,0,1,0,0,0,True,False,False,False,True,False
22,7,3,3,5,0,0,253.79,0,0,0,1,1,False,True,True,False,False,False
4,9,3,5,2,1,3,130.65,0,1,0,0,1,True,False,False,False,True,False
13,8,3,4,8,0,3,157.15,0,0,0,0,1,True,False,False,True,False,False
1,16,5,5,5,0,3,169.0,1,1,0,1,1,False,False,False,False,True,False
5,36,5,1,3,0,8,179.68,0,1,1,1,0,True,False,False,True,False,False
15,16,3,5,1,0,9,267.99,0,0,0,1,0,False,False,True,False,False,False
6,17,4,3,8,0,4,159.33,0,0,0,0,0,True,False,False,False,True,False
15,8,3,3,1,1,10,278.61,0,0,0,1,0,True,False,True,False,False,False
15,11,6,4,8,0,3,189.3,0,0,0,1,1,True,False,False,True,False,False
3,9,5,4,4,0,1,191.44,0,1,0,1,1,False,False,False,True,False,False
11,9,3,3,4,0,2,128.21,0,0,0,0,1,True,False,False,False,True,False
5,18,4,5,3,1,2,193.33,0,1,0,1,1,True,False,False,True,False,False
3,13,4,5,9,1,3,149.04,1,1,0,0,1,False,False,False,False,True,False
10,24,5,4,4,0,4,180.07,0,0,0,1,0,True,False,False,True,False,False
9,9,4,5,4,0,1,175.93,0,0,0,1,1,True,False,False,True,False,False
29,9,5,5,10,0,1,315.38,0,0,0,1,1,True,False,False,False,False,True
18,19,1,3,7,1,8,236.95,1,0,0,1,0,False,True,True,False,False,False
10,12,2,5,5,1,7,159.74,0,0,0,0,0,True,False,False,True,False,False
8,16,3,1,2,0,2,139.17,0,0,1,0,1,True,False,False,False,True,False
1,9,4,4,3,0,1,138.93,1,1,0,0,1,False,True,False,False,True,False
6,8,5,4,2,0,3,147.69,0,0,0,0,1,True,False,False,False,True,False
1,27,4,3,2,0,3,147.72,0,1,0,0,1,False,True,False,True,False,False
9,14,4,5,2,0,9,175.87,0,0,0,1,0,False,True,False,False,False,False
3,31,3,3,8,1,2,147.36,0,1,0,0,1,True,False,False,True,False,False
30,6,3,3,3,0,2,167.55,0,0,0,1,1,False,False,False,True,False,False
25,9,4,3,3,1,4,179.69,0,0,0,1,0,True,False,False,False,False,False
23,8,3,5,2,0,7,279.24,0,0,0,1,0,True,False,True,False,False,False
6,6,4,1,1,0,4,169.49,0,0,1,1,0,False,True,False,True,False,False
13,10,5,3,2,0,8,155.69,0,0,0,0,0,True,False,False,True,False,False
14,8,3,5,8,0,8,265.95,0,0,0,1,0,True,False,True,False,False,False
24,31,4,3,5,1,6,264.73,0,0,0,1,0,False,False,True,False,False,False
6,7,4,5,6,0,3,165.87,0,0,0,1,1,True,False,False,True,False,False
1,12,4,3,3,1,1,153.51,1,1,0,0,1,False,True,False,False,True,False
6,21,3,1,1,1,1,148.78,0,0,1,0,1,True,False,False,True,False,False
0,25,4,5,2,0,7,140.66,0,1,0,0,0,True,False,False,False,True,False
1,22,4,1,3,0,1,153.71,0,1,1,0,1,False,True,False,False,True,False
1,10,5,3,3,0,1,157.3,0,1,0,0,1,False,True,False,False,True,False
26,7,5,3,2,0,10,324.99,0,0,0,1,0,False,False,False,False,False,True
28,27,4,3,5,0,4,173.69,0,0,0,1,0,False,True,False,True,False,False
0,24,3,3,1,1,2,146.14,1,1,0,0,1,False,False,False,True,False,False
2,33,3,3,5,0,1,143.35,0,1,0,0,1,True,False,False,True,False,False
6,20,5,4,3,0,3,152.43,0,0,0,0,1,False,False,False,False,True,False
1,15,5,3,3,1,3,164.89,1,1,0,0,1,False,True,False,False,True,False
19,6,3,5,8,0,3,193.96,0,0,0,1,1,True,False,False,False,False,False
1,16,5,3,2,1,1,158.88,1,1,0,0,1,True,False,False,False,True,False
21,33,4,3,5,0,1,321.58,0,0,0,1,1,True,False,False,False,False,True
21,9,4,2,7,0,5,175.7,0,0,1,1,0,True,False,False,True,False,False
7,14,1,3,3,0,2,144.04,0,0,0,0,1,True,False,False,True,False,False
